id_cliente,edad,meses_antiguedad,gasto_mensual,num_productos,tickets_soporte,dias_ultimo_acceso,tipo_contrato,metodo_pago,region,gasto_por_producto,valor_vida_estimado,gasto_relativo_region,densidad_adopcion,tickets_por_mes,ratio_inactividad,costo_soporte_por_ingreso,bandera_inactivo_30d,bandera_cliente_nuevo,bandera_soporte_intensivo,bandera_pago_manual,contrato_mensual,grupo_antiguedad,grupo_valor,indice_riesgo_conductual,gasto_inesperado,percentil_inactividad_cohorte,interaccion_edad_friccion,abandono
K0011,57,3,91.33,2,8,92,mensual,domiciliacion,Norte,45.66,273.99,1.119,1.443,2.667,1.007,8.759,1,1,1,0,1,0,2,3,26.66,0.917,0.0,1
K0012,65,18,163.73,3,0,14,anual,paypal,Occidente,54.58,2947.14,1.971,1.019,0.0,0.026,0.0,0,0,0,1,0,2,3,0,75.61,0.536,1.565,0
K0013,36,12,70.36,2,2,18,mensual,tarjeta,Occidente,35.18,844.32,0.847,0.78,0.167,0.049,2.843,0,0,0,0,1,1,1,0,-8.38,0.068,-0.0,1
K0014,67,30,204.62,5,0,0,anual,paypal,Centro,40.92,6138.6,3.005,1.456,0.0,0.0,0.0,0,0,0,1,0,3,3,0,97.73,0.038,1.719,0
K0015,35,48,169.23,2,0,7,anual,domiciliacion,Norte,84.61,8123.04,2.073,0.514,0.0,0.005,0.0,0,0,0,0,0,3,3,0,34.19,0.362,-0.0,0
K0016,28,48,84.55,3,0,1,anual,domiciliacion,Norte,28.18,4058.4,1.036,0.771,0.0,0.001,0.0,0,0,0,0,0,3,2,0,-50.49,0.1,-0.0,0
K0017,33,56,167.87,3,3,18,anual,transferencia,Sur,55.96,9400.72,2.2,0.742,0.054,0.011,1.787,0,0,0,1,0,3,3,0,20.32,0.738,-0.902,0
K0018,41,13,65.46,1,8,45,mensual,paypal,Sur,65.46,850.98,0.858,0.379,0.615,0.114,12.221,1,0,1,1,1,2,1,2,-14.85,0.929,-0.285,1
K0019,60,50,189.51,5,0,21,anual,domiciliacion,Centro,37.9,9475.5,2.783,1.272,0.0,0.014,0.0,0,0,0,0,0,3,3,0,51.35,0.962,0.0,0
K0020,31,5,72.5,1,8,60,mensual,transferencia,Sur,72.5,362.5,0.95,0.558,1.6,0.394,11.034,1,1,1,1,1,0,1,3,4.7,0.5,-1.056,1
K0021,63,14,209.26,5,3,4,anual,transferencia,Norte,41.85,2929.64,2.564,1.846,0.214,0.009,1.434,0,0,0,1,0,2,3,0,127.39,0.286,1.411,0
K0022,63,7,74.79,1,10,85,mensual,paypal,Occidente,74.79,523.53,0.9,0.481,1.429,0.399,13.371,1,0,1,1,1,1,1,2,3.87,0.864,1.411,1
K0023,59,51,121.4,5,3,2,anual,domiciliacion,Centro,24.28,6191.4,1.783,1.265,0.059,0.001,2.471,0,0,0,0,0,3,2,0,-18.33,0.188,0.0,0
K0024,27,3,77.44,1,3,66,mensual,domiciliacion,Sur,77.44,232.32,1.015,0.721,1.0,0.723,3.874,1,1,0,0,1,0,1,2,12.77,0.625,-0.0,1
K0025,50,56,153.83,4,1,19,anual,transferencia,Occidente,38.46,8614.48,1.852,0.989,0.018,0.011,0.65,0,0,0,1,0,3,3,0,6.28,0.838,0.409,0
K0026,50,44,138.12,5,2,11,anual,transferencia,Sur,27.62,6077.28,1.81,1.313,0.045,0.008,1.448,0,0,0,1,0,3,3,0,9.34,0.488,0.409,0
K0027,64,10,81.94,1,2,43,mensual,paypal,Occidente,81.94,819.4,0.986,0.417,0.2,0.141,2.441,1,0,0,1,1,1,2,1,6.33,0.364,1.488,1
K0028,46,11,70.28,1,7,73,mensual,transferencia,Sur,70.28,773.08,0.921,0.402,0.636,0.218,9.96,1,0,1,1,1,1,1,2,-6.9,0.705,0.1,1
K0029,50,50,94.54,3,0,7,anual,transferencia,Centro,31.51,4727.0,1.388,0.763,0.0,0.005,0.0,0,0,0,1,0,3,2,0,-43.62,0.362,0.409,0
K0030,41,35,184.51,4,1,15,anual,tarjeta,Norte,46.13,6457.85,2.261,1.116,0.029,0.014,0.542,0,0,0,0,0,3,3,0,69.8,0.612,-0.0,0
K0031,43,5,30.2,1,8,74,mensual,tarjeta,Centro,30.2,151.0,0.444,0.558,1.6,0.486,26.49,1,1,1,0,1,0,0,3,-37.6,0.75,-0.0,1
K0032,46,7,69.66,2,10,40,mensual,paypal,Centro,34.83,487.62,1.023,0.962,1.429,0.188,14.355,1,0,1,1,1,1,1,2,-1.26,0.318,0.1,1
K0033,37,9,60.31,1,2,87,mensual,paypal,Occidente,60.31,542.79,0.726,0.434,0.222,0.318,3.316,1,0,0,1,1,1,1,1,-13.74,0.955,-0.594,1
K0034,46,55,77.74,3,1,8,anual,paypal,Centro,25.91,4275.7,1.142,0.745,0.018,0.005,1.286,0,0,0,1,0,3,2,0,-68.24,0.4,0.1,0
K0035,51,23,138.62,2,1,2,anual,paypal,Sur,69.31,3188.26,1.816,0.629,0.043,0.003,0.721,0,0,0,1,0,2,3,0,42.68,0.179,0.486,0
K0036,67,12,25.71,1,11,78,mensual,domiciliacion,Occidente,25.71,308.52,0.309,0.39,0.917,0.214,42.785,1,0,1,0,1,1,0,2,-53.03,0.773,0.0,1
K0037,62,54,48.91,5,1,9,anual,tarjeta,Sur,9.78,2641.14,0.641,1.248,0.019,0.005,2.045,0,0,0,0,0,3,0,0,-95.51,0.438,0.0,0
K0038,61,52,129.76,4,1,12,anual,paypal,Centro,32.44,6747.52,1.906,1.007,0.019,0.008,0.771,0,0,0,1,0,3,2,0,-11.53,0.538,1.257,0
K0039,44,40,50.06,3,2,15,anual,domiciliacion,Occidente,16.69,2002.4,0.603,0.808,0.05,0.012,3.995,0,0,0,0,0,3,0,0,-72.47,0.612,-0.0,0
K0040,53,8,81.62,1,6,73,mensual,tarjeta,Norte,81.62,652.96,1.0,0.455,0.75,0.3,7.351,1,0,0,0,1,1,2,1,9.13,0.705,0.0,1
K0041,31,3,67.06,2,4,62,mensual,tarjeta,Centro,33.53,201.18,0.985,1.443,1.333,0.679,5.965,1,1,0,0,1,0,1,2,2.39,0.542,-0.0,1
K0042,28,1,54.79,1,7,64,mensual,transferencia,Norte,54.79,54.79,0.671,1.443,7.0,2.102,12.776,1,1,1,1,1,0,1,3,-6.75,0.583,-1.287,1
K0043,22,10,39.64,1,5,34,mensual,tarjeta,Centro,39.64,396.4,0.582,0.417,0.5,0.112,12.614,1,0,0,0,1,1,0,1,-35.97,0.227,-0.0,1
K0044,59,10,55.92,2,5,21,mensual,transferencia,Centro,27.96,559.2,0.821,0.834,0.5,0.069,8.941,0,0,0,1,1,1,1,0,-19.69,0.136,1.102,1
K0045,44,3,82.89,2,2,27,mensual,paypal,Occidente,41.44,248.67,0.998,1.443,0.667,0.296,2.413,0,1,0,1,1,0,2,1,18.22,0.312,-0.054,1
K0046,49,5,83.25,2,7,20,mensual,domiciliacion,Occidente,41.62,416.25,1.002,1.116,1.4,0.131,8.408,0,1,1,0,1,0,2,2,15.45,0.083,0.0,1
K0047,35,15,183.73,3,2,21,anual,tarjeta,Norte,61.24,2755.95,2.251,1.082,0.133,0.046,1.089,0,0,0,0,0,2,3,0,100.3,0.75,-0.0,0
K0048,61,8,28.65,1,9,79,mensual,paypal,Centro,28.65,229.2,0.421,0.455,1.125,0.324,31.414,1,0,1,1,1,1,0,2,-43.84,0.818,1.257,1
K0049,34,54,149.85,2,2,12,anual,transferencia,Occidente,74.92,8091.9,1.804,0.499,0.037,0.007,1.335,0,0,0,1,0,3,3,0,5.43,0.538,-0.825,0
K0050,27,10,26.07,2,7,58,mensual,domiciliacion,Centro,13.03,260.7,0.383,0.834,0.7,0.191,26.851,1,0,1,0,1,1,0,2,-49.54,0.5,-0.0,1
K0051,51,23,143.11,4,3,19,anual,paypal,Occidente,35.78,3291.53,1.723,1.259,0.13,0.027,2.096,0,0,0,1,0,2,3,0,47.17,0.643,0.486,0
K0052,63,4,53.86,1,9,18,mensual,tarjeta,Sur,53.86,215.44,0.706,0.621,2.25,0.148,16.71,0,1,1,0,1,0,1,2,-12.37,0.042,0.0,1
K0053,61,25,137.65,3,0,11,anual,paypal,Sur,45.88,3441.25,1.804,0.921,0.0,0.014,0.0,0,0,0,1,0,3,2,0,38.58,0.488,1.257,0
K0054,61,42,52.58,5,0,21,anual,domiciliacion,Norte,10.52,2208.36,0.644,1.329,0.0,0.016,0.0,0,0,0,0,0,3,0,0,-73.07,0.962,0.0,0
K0055,62,5,37.2,1,4,35,mensual,domiciliacion,Norte,37.2,186.0,0.456,0.558,0.8,0.23,10.753,1,1,0,0,1,0,0,2,-30.6,0.417,0.0,1
K0056,32,38,153.18,3,3,18,anual,tarjeta,Sur,51.06,5820.84,2.007,0.819,0.079,0.016,1.958,0,0,0,0,0,3,3,0,33.78,0.738,-0.0,0
K0057,51,8,29.38,1,10,86,mensual,tarjeta,Centro,29.38,235.04,0.431,0.455,1.25,0.353,34.037,1,0,1,0,1,1,0,2,-43.11,0.909,0.0,1
K0058,33,18,155.13,2,2,8,anual,paypal,Sur,77.56,2792.34,2.033,0.679,0.111,0.015,1.289,0,0,0,1,0,2,3,0,67.01,0.429,-0.902,0
K0059,65,5,53.09,2,6,82,mensual,tarjeta,Sur,26.54,265.45,0.696,1.116,1.2,0.539,11.302,1,1,0,0,1,0,1,2,-14.71,0.792,0.0,1
K0060,42,3,60.05,2,2,23,mensual,transferencia,Sur,30.02,180.15,0.787,1.443,0.667,0.252,3.331,0,1,0,1,1,0,1,1,-4.62,0.125,-0.208,1
K0061,36,5,19.11,1,3,93,mensual,transferencia,Norte,19.11,95.55,0.234,0.558,0.6,0.611,15.699,1,1,0,1,1,0,0,2,-48.69,0.958,-0.671,1
K0062,36,59,84.71,4,0,17,anual,tarjeta,Centro,21.18,4997.89,1.244,0.977,0.0,0.009,0.0,0,0,0,0,0,3,2,0,-67.53,0.662,-0.0,0
K0063,38,9,79.54,1,5,47,mensual,tarjeta,Sur,79.54,715.86,1.042,0.434,0.556,0.172,6.286,1,0,0,0,1,1,2,1,5.49,0.409,-0.0,1
K0064,47,34,204.88,5,2,4,anual,domiciliacion,Occidente,40.98,6965.92,2.466,1.406,0.059,0.004,0.976,0,0,0,0,0,3,3,0,91.74,0.275,0.0,0
K0065,38,5,30.34,1,8,87,mensual,domiciliacion,Norte,30.34,151.7,0.372,0.558,1.6,0.572,26.368,1,1,1,0,1,0,0,3,-37.46,0.833,-0.0,1
K0066,47,4,43.91,2,8,69,mensual,domiciliacion,Centro,21.95,175.64,0.645,1.243,2.0,0.567,18.219,1,1,1,0,1,0,0,3,-22.32,0.667,0.0,1
K0067,48,1,47.11,2,11,91,mensual,transferencia,Sur,23.55,47.11,0.617,2.885,11.0,2.989,23.35,1,1,1,1,1,0,0,3,-14.43,0.875,0.254,1
K0068,26,34,203.96,4,1,19,anual,paypal,Sur,50.99,6934.64,2.673,1.125,0.029,0.018,0.49,0,0,0,1,0,3,3,0,90.82,0.838,-1.442,0
K0069,25,29,140.81,5,3,1,anual,paypal,Centro,28.16,4083.49,2.068,1.47,0.103,0.001,2.131,0,0,0,1,0,3,3,0,35.48,0.1,-1.519,0
K0070,61,7,27.15,1,7,61,mensual,domiciliacion,Norte,27.15,190.05,0.333,0.481,1.0,0.286,25.783,1,0,1,0,1,1,0,2,-43.77,0.636,0.0,1
K0071,45,13,127.28,4,2,21,anual,paypal,Centro,31.82,1654.64,1.869,1.516,0.154,0.053,1.571,0,0,0,1,0,2,2,0,46.97,0.75,0.023,0
K0072,59,2,76.53,2,11,72,mensual,paypal,Norte,38.26,153.06,0.938,1.82,5.5,1.183,14.373,1,1,1,1,1,0,1,3,13.43,0.708,1.102,1
K0073,29,9,27.28,2,2,94,mensual,tarjeta,Centro,13.64,245.52,0.401,0.869,0.222,0.343,7.331,1,0,0,0,1,1,0,1,-46.77,1.0,-0.0,1
K0074,61,36,201.55,4,1,21,anual,domiciliacion,Occidente,50.39,7255.8,2.426,1.108,0.028,0.019,0.496,0,0,0,0,0,3,3,0,85.28,0.962,0.0,0
K0075,56,2,85.64,1,10,26,mensual,paypal,Occidente,85.64,171.28,1.031,0.91,5.0,0.427,11.677,0,1,1,1,1,0,2,2,22.54,0.25,0.871,1
K0076,28,10,89.13,1,4,31,mensual,transferencia,Centro,89.13,891.3,1.309,0.417,0.4,0.102,4.488,1,0,0,1,1,1,2,1,13.52,0.182,-1.287,1
K0077,23,33,65.53,3,0,20,anual,paypal,Centro,21.84,2162.49,0.962,0.851,0.0,0.02,0.0,0,0,0,1,0,3,1,0,-46.05,0.9,-1.673,0
K0078,63,6,39.91,2,9,34,mensual,paypal,Centro,19.95,239.46,0.586,1.028,1.5,0.186,22.551,1,1,1,1,1,0,0,3,-29.45,0.375,1.411,1
K0079,40,33,45.92,5,3,18,anual,paypal,Occidente,9.18,1515.36,0.553,1.418,0.091,0.018,6.533,0,0,0,1,0,3,0,0,-65.66,0.738,-0.362,0
K0080,46,33,109.8,3,2,2,anual,transferencia,Centro,36.6,3623.4,1.613,0.851,0.061,0.002,1.821,0,0,0,1,0,3,2,0,-1.78,0.188,0.1,0
K0081,42,35,116.25,2,2,1,anual,paypal,Occidente,58.12,4068.75,1.399,0.558,0.057,0.001,1.72,0,0,0,1,0,3,2,0,1.54,0.1,-0.208,0
K0082,32,23,51.31,2,3,2,anual,domiciliacion,Sur,25.65,1180.13,0.672,0.629,0.13,0.003,5.847,0,0,0,0,0,2,0,0,-44.63,0.179,-0.0,0
K0083,32,51,191.32,4,2,19,anual,transferencia,Centro,47.83,9757.32,2.81,1.012,0.039,0.012,1.045,0,0,0,1,0,3,3,0,51.59,0.838,-0.979,0
K0084,28,13,43.6,1,11,84,mensual,transferencia,Centro,43.6,566.8,0.64,0.379,0.846,0.212,25.229,1,0,1,1,1,2,0,2,-36.71,1.0,-1.287,1
K0085,59,21,92.65,4,0,7,anual,paypal,Norte,23.16,1945.65,1.135,1.294,0.0,0.011,0.0,0,0,0,1,0,2,2,0,-0.17,0.357,1.102,0
K0086,23,31,75.19,2,0,17,anual,tarjeta,Sur,37.59,2330.89,0.985,0.577,0.0,0.018,0.0,0,0,0,0,0,3,1,0,-33.26,0.662,-0.0,0
K0087,55,41,104.03,5,0,2,anual,paypal,Norte,20.81,4265.23,1.275,1.338,0.0,0.002,0.0,0,0,0,1,0,3,2,0,-20.06,0.188,0.794,0
K0088,30,3,62.1,1,8,24,mensual,paypal,Norte,62.1,186.3,0.761,0.721,2.667,0.263,12.882,0,1,1,1,1,0,1,2,-2.57,0.188,-1.133,1
K0089,54,50,126.12,2,0,18,anual,transferencia,Norte,63.06,6306.0,1.545,0.509,0.0,0.012,0.0,0,0,0,1,0,3,2,0,-12.04,0.738,0.717,0
K0090,56,44,64.22,2,0,13,anual,tarjeta,Sur,32.11,2825.68,0.842,0.525,0.0,0.01,0.0,0,0,0,0,0,3,1,0,-64.56,0.575,0.0,0
K0091,29,13,46.84,1,2,22,mensual,domiciliacion,Norte,46.84,608.92,0.574,0.379,0.154,0.056,4.27,0,0,0,0,1,2,0,0,-33.47,0.857,-0.0,1
K0092,52,29,136.22,2,2,4,anual,domiciliacion,Occidente,68.11,3950.38,1.64,0.588,0.069,0.005,1.468,0,0,0,0,0,3,2,0,30.89,0.275,0.0,0
K0093,34,11,51.08,2,11,36,mensual,paypal,Norte,25.54,561.88,0.626,0.805,1.0,0.108,21.535,1,0,1,1,1,1,0,2,-26.1,0.273,-0.825,1
K0094,27,1,64.22,1,8,24,mensual,domiciliacion,Centro,64.22,64.22,0.943,1.443,8.0,0.788,12.457,0,1,1,0,1,0,1,2,2.68,0.188,-0.0,1
K0095,44,23,202.09,4,1,1,anual,paypal,Centro,50.52,4648.07,2.968,1.259,0.043,0.001,0.495,0,0,0,1,0,2,3,0,106.15,0.071,-0.054,0
K0096,39,9,84.46,1,6,18,mensual,tarjeta,Norte,84.46,760.14,1.035,0.434,0.667,0.066,7.104,0,0,0,0,1,1,2,0,10.41,0.068,-0.0,1
K0097,45,5,70.89,1,5,94,mensual,tarjeta,Norte,70.89,354.45,0.869,0.558,1.0,0.618,7.053,1,1,0,0,1,0,1,2,3.09,1.0,0.0,1
K0098,36,7,18.42,1,11,59,mensual,tarjeta,Norte,18.42,128.94,0.226,0.481,1.571,0.277,59.718,1,0,1,0,1,1,0,2,-52.5,0.568,-0.0,1
K0099,26,4,67.37,1,9,40,mensual,transferencia,Centro,67.37,269.48,0.989,0.621,2.25,0.329,13.359,1,1,1,1,1,0,1,3,1.14,0.458,-1.442,1
K0100,37,52,202.89,2,2,4,anual,paypal,Norte,101.44,10550.28,2.486,0.504,0.038,0.003,0.986,0,0,0,1,0,3,3,0,61.6,0.275,-0.594,0
