id_cliente,meses_antiguedad,gasto_mensual,num_productos,tickets_soporte,dias_ultimo_acceso,metodo_pago,region,valor_vida_estimado,tickets_por_mes,ratio_inactividad,costo_soporte_por_ingreso,bandera_inactivo_30d,bandera_cliente_nuevo,bandera_soporte_intensivo,grupo_antiguedad,indice_riesgo_conductual,gasto_inesperado,abandono
K0032,7,69.66,2,10,40,paypal,Centro,487.62,1.429,0.188,14.355,1,0,1,1,2,-1.26,1
K0033,9,60.31,1,2,87,paypal,Occidente,542.79,0.222,0.318,3.316,1,0,0,1,1,-13.74,1
K0034,55,77.74,3,1,8,paypal,Centro,4275.7,0.018,0.005,1.286,0,0,0,3,0,-68.24,0
K0035,23,138.62,2,1,2,paypal,Sur,3188.26,0.043,0.003,0.721,0,0,0,2,0,42.68,0
K0036,12,25.71,1,11,78,domiciliacion,Occidente,308.52,0.917,0.214,42.785,1,0,1,1,2,-53.03,1
K0037,54,48.91,5,1,9,tarjeta,Sur,2641.14,0.019,0.005,2.045,0,0,0,3,0,-95.51,0
K0038,52,129.76,4,1,12,paypal,Centro,6747.52,0.019,0.008,0.771,0,0,0,3,0,-11.53,0
K0039,40,50.06,3,2,15,domiciliacion,Occidente,2002.4,0.05,0.012,3.995,0,0,0,3,0,-72.47,0
K0040,8,81.62,1,6,73,tarjeta,Norte,652.96,0.75,0.3,7.351,1,0,0,1,1,9.13,1
K0041,3,67.06,2,4,62,tarjeta,Centro,201.18,1.333,0.679,5.965,1,1,0,0,2,2.39,1
K0042,1,54.79,1,7,64,transferencia,Norte,54.79,7.0,2.102,12.776,1,1,1,0,3,-6.75,1
K0043,10,39.64,1,5,34,tarjeta,Centro,396.4,0.5,0.112,12.614,1,0,0,1,1,-35.97,1
K0044,10,55.92,2,5,21,transferencia,Centro,559.2,0.5,0.069,8.941,0,0,0,1,0,-19.69,1
K0045,3,82.89,2,2,27,paypal,Occidente,248.67,0.667,0.296,2.413,0,1,0,0,1,18.22,1
K0046,5,83.25,2,7,20,domiciliacion,Occidente,416.25,1.4,0.131,8.408,0,1,1,0,2,15.45,1
K0047,15,183.73,3,2,21,tarjeta,Norte,2755.95,0.133,0.046,1.089,0,0,0,2,0,100.3,0
K0048,8,28.65,1,9,79,paypal,Centro,229.2,1.125,0.324,31.414,1,0,1,1,2,-43.84,1
K0049,54,149.85,2,2,12,transferencia,Occidente,8091.9,0.037,0.007,1.335,0,0,0,3,0,5.43,0
K0050,10,26.07,2,7,58,domiciliacion,Centro,260.7,0.7,0.191,26.851,1,0,1,1,2,-49.54,1
K0051,23,143.11,4,3,19,paypal,Occidente,3291.53,0.13,0.027,2.096,0,0,0,2,0,47.17,0
K0052,4,53.86,1,9,18,tarjeta,Sur,215.44,2.25,0.148,16.71,0,1,1,0,2,-12.37,1
K0053,25,137.65,3,0,11,paypal,Sur,3441.25,0.0,0.014,0.0,0,0,0,3,0,38.58,0
K0054,42,52.58,5,0,21,domiciliacion,Norte,2208.36,0.0,0.016,0.0,0,0,0,3,0,-73.07,0
K0055,5,37.2,1,4,35,domiciliacion,Norte,186.0,0.8,0.23,10.753,1,1,0,0,2,-30.6,1
K0056,38,153.18,3,3,18,tarjeta,Sur,5820.84,0.079,0.016,1.958,0,0,0,3,0,33.78,0
K0057,8,29.38,1,10,86,tarjeta,Centro,235.04,1.25,0.353,34.037,1,0,1,1,2,-43.11,1
K0058,18,155.13,2,2,8,paypal,Sur,2792.34,0.111,0.015,1.289,0,0,0,2,0,67.01,0
K0059,5,53.09,2,6,82,tarjeta,Sur,265.45,1.2,0.539,11.302,1,1,0,0,2,-14.71,1
K0060,3,60.05,2,2,23,transferencia,Sur,180.15,0.667,0.252,3.331,0,1,0,0,1,-4.62,1
K0061,5,19.11,1,3,93,transferencia,Norte,95.55,0.6,0.611,15.699,1,1,0,0,2,-48.69,1
K0062,59,84.71,4,0,17,tarjeta,Centro,4997.89,0.0,0.009,0.0,0,0,0,3,0,-67.53,0
K0063,9,79.54,1,5,47,tarjeta,Sur,715.86,0.556,0.172,6.286,1,0,0,1,1,5.49,1
K0064,34,204.88,5,2,4,domiciliacion,Occidente,6965.92,0.059,0.004,0.976,0,0,0,3,0,91.74,0
K0065,5,30.34,1,8,87,domiciliacion,Norte,151.7,1.6,0.572,26.368,1,1,1,0,3,-37.46,1
K0066,4,43.91,2,8,69,domiciliacion,Centro,175.64,2.0,0.567,18.219,1,1,1,0,3,-22.32,1
K0067,1,47.11,2,11,91,transferencia,Sur,47.11,11.0,2.989,23.35,1,1,1,0,3,-14.43,1
K0068,34,203.96,4,1,19,paypal,Sur,6934.64,0.029,0.018,0.49,0,0,0,3,0,90.82,0
K0069,29,140.81,5,3,1,paypal,Centro,4083.49,0.103,0.001,2.131,0,0,0,3,0,35.48,0
K0070,7,27.15,1,7,61,domiciliacion,Norte,190.05,1.0,0.286,25.783,1,0,1,1,2,-43.77,1
K0071,13,127.28,4,2,21,paypal,Centro,1654.64,0.154,0.053,1.571,0,0,0,2,0,46.97,0
K0072,2,76.53,2,11,72,paypal,Norte,153.06,5.5,1.183,14.373,1,1,1,0,3,13.43,1
K0073,9,27.28,2,2,94,tarjeta,Centro,245.52,0.222,0.343,7.331,1,0,0,1,1,-46.77,1
K0074,36,201.55,4,1,21,domiciliacion,Occidente,7255.8,0.028,0.019,0.496,0,0,0,3,0,85.28,0
K0075,2,85.64,1,10,26,paypal,Occidente,171.28,5.0,0.427,11.677,0,1,1,0,2,22.54,1
K0076,10,89.13,1,4,31,transferencia,Centro,891.3,0.4,0.102,4.488,1,0,0,1,1,13.52,1
K0077,33,65.53,3,0,20,paypal,Centro,2162.49,0.0,0.02,0.0,0,0,0,3,0,-46.05,0
K0078,6,39.91,2,9,34,paypal,Centro,239.46,1.5,0.186,22.551,1,1,1,0,3,-29.45,1
K0079,33,45.92,5,3,18,paypal,Occidente,1515.36,0.091,0.018,6.533,0,0,0,3,0,-65.66,0
K0080,33,109.8,3,2,2,transferencia,Centro,3623.4,0.061,0.002,1.821,0,0,0,3,0,-1.78,0
K0081,35,116.25,2,2,1,paypal,Occidente,4068.75,0.057,0.001,1.72,0,0,0,3,0,1.54,0
K0082,23,51.31,2,3,2,domiciliacion,Sur,1180.13,0.13,0.003,5.847,0,0,0,2,0,-44.63,0
K0083,51,191.32,4,2,19,transferencia,Centro,9757.32,0.039,0.012,1.045,0,0,0,3,0,51.59,0
K0084,13,43.6,1,11,84,transferencia,Centro,566.8,0.846,0.212,25.229,1,0,1,2,2,-36.71,1
K0085,21,92.65,4,0,7,paypal,Norte,1945.65,0.0,0.011,0.0,0,0,0,2,0,-0.17,0
K0086,31,75.19,2,0,17,tarjeta,Sur,2330.89,0.0,0.018,0.0,0,0,0,3,0,-33.26,0
K0087,41,104.03,5,0,2,paypal,Norte,4265.23,0.0,0.002,0.0,0,0,0,3,0,-20.06,0
K0088,3,62.1,1,8,24,paypal,Norte,186.3,2.667,0.263,12.882,0,1,1,0,2,-2.57,1
K0089,50,126.12,2,0,18,transferencia,Norte,6306.0,0.0,0.012,0.0,0,0,0,3,0,-12.04,0
K0090,44,64.22,2,0,13,tarjeta,Sur,2825.68,0.0,0.01,0.0,0,0,0,3,0,-64.56,0
K0091,13,46.84,1,2,22,domiciliacion,Norte,608.92,0.154,0.056,4.27,0,0,0,2,0,-33.47,1
K0092,29,136.22,2,2,4,domiciliacion,Occidente,3950.38,0.069,0.005,1.468,0,0,0,3,0,30.89,0
K0093,11,51.08,2,11,36,paypal,Norte,561.88,1.0,0.108,21.535,1,0,1,1,2,-26.1,1
K0094,1,64.22,1,8,24,domiciliacion,Centro,64.22,8.0,0.788,12.457,0,1,1,0,2,2.68,1
K0095,23,202.09,4,1,1,paypal,Centro,4648.07,0.043,0.001,0.495,0,0,0,2,0,106.15,0
K0096,9,84.46,1,6,18,tarjeta,Norte,760.14,0.667,0.066,7.104,0,0,0,1,0,10.41,1
K0097,5,70.89,1,5,94,tarjeta,Norte,354.45,1.0,0.618,7.053,1,1,0,0,2,3.09,1
K0098,7,18.42,1,11,59,tarjeta,Norte,128.94,1.571,0.277,59.718,1,0,1,1,2,-52.5,1
K0099,4,67.37,1,9,40,transferencia,Centro,269.48,2.25,0.329,13.359,1,1,1,0,3,1.14,1
K0100,52,202.89,2,2,4,paypal,Norte,10550.28,0.038,0.003,0.986,0,0,0,3,0,61.6,0
