id_pedido,id_cliente,id_producto,fecha_pedido,cantidad,monto,estatus,region
O00079,C0096,P003,2026-04-04,1,41.22,completado,Centro
O00080,C0092,P004,2025-09-17,1,105.24,pendiente,Norte
O00081,C0119,P003,2026-08-20,3,135.54,completado,Norte
O00082,C0002,P010,2025-09-24,2,253.83,completado,Sur
O00083,C0053,P003,2026-04-06,3,135.98,completado,Norte
O00084,C0100,P006,2026-02-20,3,125.39,pendiente,Sur
O00085,C0049,P009,2025-09-02,3,197.36,cancelado,Occidente
O00086,C0062,P004,2026-06-25,2,210.5,completado,Norte
O00087,C0015,P010,2026-07-09,1,127.89,completado,Centro
O00088,C0112,P010,2025-11-28,1,139.48,completado,Sur
O00089,C0097,P001,2026-03-19,1,274.79,completado,Sur
O00090,C0100,P007,2025-12-21,3,195.28,completado,Occidente
O00091,C0070,P009,2026-01-29,3,182.09,completado,Norte
O00092,C0013,P011,2026-04-14,1,60.05,pendiente,Centro
O00093,C0068,P002,2025-10-23,3,2024.59,completado,Sur
O00094,C0013,P010,2025-09-27,1,130.62,pendiente,Centro
O00095,C0025,P001,2026-05-09,1,276.82,pendiente,Occidente
O00096,C0067,P002,2025-12-16,1,648.42,completado,Sur
O00097,C0021,P008,2026-03-06,1,59.19,completado,Norte
O00098,C0002,P004,2025-11-27,3,331.26,completado,Centro
O00099,C0014,P011,2026-03-22,3,186.01,completado,Norte
O00100,C0046,P006,2025-12-16,2,94.13,pendiente,Centro
O00101,C0119,P006,2026-08-16,1,45.34,completado,Occidente
O00102,C0061,P012,2025-12-09,1,58.61,completado,Occidente
O00103,C0073,P001,2025-09-16,1,274.13,completado,Centro
O00104,C0114,P005,2026-06-30,2,766.61,completado,Centro
O00105,C0090,P007,2026-08-09,2,115.57,cancelado,Centro
O00106,C0048,P012,2026-05-07,2,128.8,pendiente,Sur
O00107,C0072,P006,2026-03-12,2,87.52,completado,Sur
O00108,C0065,P007,2025-09-13,1,57.35,completado,Centro
O00109,C0027,P008,2026-04-15,1,62.31,completado,Norte
O00110,C0063,P011,2026-04-12,2,117.91,completado,Sur
O00111,C0083,P001,2026-08-14,1,304.65,completado,Occidente
O00112,C0001,P003,2025-10-19,1,41.0,completado,Occidente
O00113,C0088,P006,2026-05-17,1,41.84,completado,Norte
O00114,C0042,P003,2025-12-25,2,89.96,cancelado,Norte
O00115,C0079,P006,2026-04-10,3,130.61,completado,Norte
O00116,C0090,P007,2025-10-05,1,59.39,completado,Norte
O00117,C0013,P004,2026-05-13,3,354.51,completado,Norte
O00118,C0109,P002,2025-10-04,2,1301.44,completado,Occidente
O00119,C0043,P009,2025-12-08,2,121.85,completado,Centro
O00120,C0105,P010,2025-12-30,2,286.59,completado,Sur
O00121,C0098,P009,2026-01-01,1,68.97,completado,Norte
O00122,C0079,P003,2026-02-10,2,88.17,completado,Sur
O00123,C0045,P006,2026-01-20,1,41.74,completado,Occidente
O00124,C0010,P005,2025-11-12,1,391.2,completado,Centro
O00125,C0090,P003,2026-05-03,2,86.5,completado,Norte
O00126,C0082,P009,2026-07-08,2,127.68,completado,Sur
O00127,C0038,P009,2026-04-22,1,62.03,completado,Norte
O00128,C0031,P007,2026-07-10,1,58.0,completado,Occidente
O00129,C0069,P012,2025-09-04,2,132.86,completado,Centro
O00130,C0008,P005,2025-10-20,1,426.04,completado,Occidente
O00131,C0030,P001,2026-05-05,2,590.61,cancelado,Sur
O00132,C0051,P006,2026-07-14,1,46.35,cancelado,Norte
O00133,C0065,P011,2026-05-25,1,62.07,completado,Sur
O00134,C0091,P011,2026-02-20,3,163.15,pendiente,Sur
O00135,C0030,P012,2026-07-24,2,132.14,pendiente,Centro
O00136,C0003,P008,2026-07-13,1,59.2,completado,Sur
O00137,C0085,P009,2026-03-04,2,122.42,completado,Sur
O00138,C0058,P008,2025-09-24,2,117.55,pendiente,Occidente
O00139,C0056,P001,2026-01-02,2,600.53,completado,Centro
O00140,C0048,P004,2026-05-02,2,239.02,cancelado,Norte
O00141,C0119,P009,2026-03-22,3,198.89,cancelado,Centro
O00142,C0047,P004,2025-10-25,1,109.96,completado,Sur
O00143,C0062,P011,2026-04-03,2,112.26,completado,Norte
O00144,C0095,P011,2025-10-07,2,113.57,completado,Occidente
O00145,C0105,P002,2025-12-28,1,682.24,completado,Occidente
O00146,C0080,P003,2025-09-11,1,45.35,pendiente,Norte
O00147,C0045,P006,2026-07-22,1,41.66,pendiente,Centro
O00148,C0016,P005,2026-01-04,3,1161.02,completado,Norte
O00149,C0012,P009,2026-04-12,1,63.71,completado,Occidente
O00150,C0072,P010,2026-03-01,2,272.82,completado,Centro
O00151,C0107,P001,2026-02-03,3,923.48,pendiente,Norte
O00152,C0029,P004,2025-12-12,2,233.0,pendiente,Centro
O00153,C0116,P005,2026-05-10,2,830.82,completado,Centro
O00154,C0010,P001,2026-04-11,1,297.07,completado,Centro
O00155,C0084,P005,2026-04-08,2,754.44,pendiente,Norte
O00156,C0112,P004,2026-01-01,3,357.27,completado,Centro
O00157,C0016,P007,2025-09-01,2,125.07,completado,Norte
O00158,C0036,P001,2026-02-02,2,602.55,completado,Occidente
O00159,C0042,P001,2026-05-13,2,630.19,cancelado,Centro
O00160,C0008,P003,2026-07-27,3,120.13,completado,Sur
O00161,C0092,P002,2026-03-07,2,1373.8,completado,Sur
O00162,C0046,P010,2026-08-23,2,254.34,completado,Centro
O00163,C0101,P012,2026-02-22,3,174.31,completado,Norte
O00164,C0027,P004,2026-04-14,1,118.07,completado,Sur
O00165,C0014,P003,2025-10-26,3,122.68,pendiente,Sur
O00166,C0093,P012,2026-02-08,3,182.42,completado,Norte
O00167,C0017,P006,2026-08-26,3,126.93,pendiente,Centro
O00168,C0045,P003,2025-12-11,2,84.59,completado,Centro
O00169,C0116,P007,2026-02-27,3,195.54,completado,Centro
O00170,C0078,P007,2026-04-06,3,194.93,completado,Sur
O00171,C0101,P012,2026-06-20,1,65.9,completado,Sur
O00172,C0029,P012,2025-11-04,1,58.99,completado,Occidente
O00173,C0109,P009,2025-12-26,1,64.57,pendiente,Centro
O00174,C0058,P005,2025-10-26,3,1249.19,pendiente,Norte
O00175,C0023,P010,2026-05-19,2,287.93,pendiente,Occidente
O00176,C0026,P004,2026-05-27,2,218.66,pendiente,Occidente
O00177,C0058,P010,2026-06-18,1,126.72,completado,Centro
O00178,C0114,P003,2026-05-26,3,135.29,completado,Occidente
O00179,C0039,P010,2025-10-17,1,135.35,completado,Centro
O00180,C0113,P004,2026-02-28,1,108.53,completado,Norte
O00181,C0058,P007,2026-04-25,2,119.1,completado,Norte
O00182,C0083,P004,2026-03-26,2,221.19,completado,Sur
O00183,C0036,P007,2026-08-14,1,62.32,completado,Sur
O00184,C0098,P011,2026-01-23,3,176.37,pendiente,Sur
O00185,C0065,P011,2026-04-20,3,166.4,completado,Occidente
O00186,C0112,P004,2026-06-06,2,228.96,completado,Centro
O00187,C0100,P012,2025-11-17,1,65.36,completado,Sur
O00188,C0119,P001,2025-10-11,1,278.51,completado,Occidente
O00189,C0081,P006,2026-01-05,1,44.21,completado,Centro
O00190,C0034,P010,2026-08-06,1,131.35,completado,Norte
O00191,C0106,P011,2025-09-30,3,165.56,completado,Sur
O00192,C0023,P012,2025-11-19,1,66.36,pendiente,Norte
O00193,C0019,P004,2025-11-26,2,223.08,completado,Centro
O00194,C0036,P011,2025-10-09,2,113.98,completado,Sur
O00195,C0081,P004,2026-01-03,1,117.98,pendiente,Centro
O00196,C0073,P006,2025-12-17,2,83.77,completado,Centro
O00197,C0100,P012,2026-02-01,3,186.94,completado,Occidente
O00198,C0101,P011,2026-01-12,2,118.56,completado,Occidente
O00199,C0116,P005,2026-04-05,1,374.95,completado,Norte
O00200,C0050,P004,2025-12-12,2,210.14,completado,Centro
O00201,C0107,P012,2026-07-16,3,179.94,completado,Occidente
O00202,C0037,P003,2025-09-30,1,41.07,completado,Norte
O00203,C0104,P008,2026-05-23,3,199.92,completado,Occidente
O00204,C0098,P008,2026-07-17,3,198.89,completado,Occidente
O00205,C0029,P011,2026-08-03,3,174.07,completado,Sur
O00206,C0098,P006,2025-10-24,3,141.57,pendiente,Centro
O00207,C0052,P002,2025-11-29,2,1342.07,completado,Sur
O00208,C0010,P003,2026-02-09,3,128.05,completado,Sur
O00209,C0023,P009,2025-12-01,1,67.99,pendiente,Occidente
O00210,C0011,P003,2026-02-14,1,44.48,completado,Norte
O00211,C0057,P008,2026-05-17,1,60.65,pendiente,Occidente
O00212,C0081,P005,2026-07-06,1,400.75,completado,Norte
O00213,C0071,P012,2026-02-15,2,121.88,completado,Centro
O00214,C0050,P002,2025-11-25,3,2096.68,completado,Norte
O00215,C0016,P005,2025-11-29,1,372.87,pendiente,Occidente
O00216,C0047,P011,2025-11-20,2,118.83,cancelado,Sur
O00217,C0079,P002,2026-05-04,2,1363.71,pendiente,Centro
O00218,C0119,P003,2026-04-11,3,131.53,cancelado,Norte
O00219,C0106,P011,2026-06-29,2,124.25,completado,Centro
O00220,C0049,P004,2025-11-10,3,319.41,completado,Occidente
O00221,C0091,P006,2025-11-19,1,43.76,completado,Occidente
O00222,C0048,P001,2025-10-13,2,599.62,completado,Sur
O00223,C0013,P001,2025-12-08,1,271.25,completado,Norte
O00224,C0016,P002,2025-12-08,1,615.81,completado,Norte
O00225,C0036,P004,2026-08-03,2,236.23,completado,Occidente
O00226,C0068,P006,2025-11-19,2,89.0,completado,Norte
O00227,C0016,P012,2025-12-10,1,64.22,pendiente,Sur
O00228,C0100,P008,2025-10-09,2,117.05,completado,Sur
O00229,C0042,P010,2025-12-07,1,131.74,cancelado,Sur
O00230,C0075,P010,2026-01-31,2,267.05,completado,Sur
O00231,C0038,P007,2026-02-06,1,62.92,completado,Occidente
O00232,C0042,P010,2026-01-07,1,138.29,completado,Sur
O00233,C0058,P003,2026-08-12,1,42.22,completado,Sur
O00234,C0104,P008,2025-09-27,1,62.34,completado,Centro
O00235,C0112,P004,2026-01-19,3,344.22,completado,Centro
O00236,C0095,P009,2026-04-30,2,122.97,completado,Sur
O00237,C0083,P001,2026-05-02,3,858.14,cancelado,Sur
O00238,C0107,P003,2025-09-02,2,85.9,completado,Centro
O00239,C0039,P012,2025-11-13,3,176.12,completado,Sur
O00240,C0038,P006,2025-11-14,2,96.22,completado,Norte
O00241,C0009,P004,2026-05-17,2,240.28,completado,Occidente
O00242,C0015,P007,2025-11-21,3,197.26,pendiente,Norte
O00243,C0070,P009,2025-12-01,2,124.2,completado,Centro
O00244,C0022,P012,2026-06-30,2,127.18,completado,Occidente
O00245,C0021,P010,2025-10-19,3,386.74,completado,Sur
O00246,C0065,P006,2025-11-24,3,132.32,completado,Sur
O00247,C0075,P012,2026-07-15,2,125.78,pendiente,Norte
O00248,C0099,P009,2026-06-20,2,129.13,completado,Occidente
O00249,C0074,P009,2026-03-06,2,132.34,completado,Occidente
O00250,C0119,P011,2026-07-09,1,56.87,cancelado,Occidente
O00251,C0062,P007,2026-03-21,1,61.52,pendiente,Norte
O00252,C0038,P005,2026-04-23,3,1216.03,completado,Sur
O00253,C0005,P004,2026-02-26,2,217.65,completado,Centro
O00254,C0112,P004,2026-06-15,2,211.03,completado,Norte
O00255,C0037,P006,2026-04-07,1,42.75,pendiente,Centro
O00256,C0070,P010,2026-07-10,1,131.06,completado,Occidente
O00257,C0117,P004,2026-08-06,2,233.34,completado,Norte
O00258,C0099,P008,2025-10-18,3,177.75,completado,Occidente
O00259,C0090,P012,2025-10-17,2,128.62,completado,Occidente
O00260,C0077,P005,2026-01-31,1,379.0,completado,Centro
O00261,C0014,P012,2026-08-10,2,118.06,completado,Sur
O00262,C0066,P003,2026-04-14,1,39.28,completado,Norte
O00263,C0013,P008,2026-04-23,3,177.21,completado,Norte
O00264,C0068,P004,2025-09-04,1,105.5,completado,Centro
O00265,C0053,P001,2026-08-23,1,315.47,cancelado,Sur
O00266,C0107,P001,2026-06-30,1,281.27,completado,Centro
O00267,C0023,P004,2026-02-11,3,330.45,completado,Sur
O00268,C0080,P005,2026-08-07,2,768.2,completado,Occidente
O00269,C0063,P001,2026-02-26,1,277.42,completado,Norte
O00270,C0097,P004,2026-08-25,1,120.4,completado,Norte
O00271,C0041,P004,2026-03-17,1,108.6,completado,Occidente
O00272,C0001,P006,2026-07-20,3,128.57,completado,Norte
O00273,C0090,P011,2026-06-14,3,186.75,completado,Sur
O00274,C0053,P004,2026-04-22,2,226.25,completado,Occidente
O00275,C0060,P003,2026-03-16,1,39.73,completado,Sur
O00276,C0103,P008,2026-03-11,3,198.58,completado,Centro
O00277,C0007,P008,2025-10-19,3,201.58,completado,Sur
O00278,C0038,P011,2026-01-02,1,57.05,completado,Centro
O00279,C0107,P006,2026-04-29,1,45.3,completado,Sur
O00280,C0038,P008,2025-11-06,3,202.42,completado,Centro
O00281,C0015,P004,2026-08-15,2,232.95,completado,Centro
O00282,C0062,P009,2025-10-19,1,63.5,completado,Occidente
O00283,C0016,P003,2025-11-05,3,124.42,completado,Sur
O00284,C0031,P004,2025-10-05,1,111.31,completado,Norte
O00285,C0010,P012,2025-10-27,1,61.97,completado,Centro
O00286,C0042,P010,2025-10-09,3,408.47,cancelado,Centro
O00287,C0083,P010,2026-04-11,1,126.44,completado,Centro
O00288,C0029,P002,2026-03-26,3,1856.14,completado,Occidente
O00289,C0006,P009,2026-04-01,1,66.95,completado,Sur
O00290,C0027,P009,2026-04-01,1,66.32,completado,Sur
O00291,C0012,P006,2025-10-05,3,139.33,completado,Sur
O00292,C0090,P002,2025-12-23,2,1365.7,completado,Centro
O00293,C0097,P011,2026-06-04,2,112.33,completado,Centro
O00294,C0093,P005,2026-03-07,1,427.8,pendiente,Centro
O00295,C0034,P006,2026-01-17,2,96.82,completado,Norte
O00296,C0115,P009,2026-03-21,2,139.69,completado,Occidente
O00297,C0059,P011,2026-02-01,1,58.34,completado,Centro
O00298,C0037,P002,2025-09-29,2,1342.0,pendiente,Occidente
O00299,C0091,P002,2026-03-10,1,603.41,completado,Sur
O00300,C0034,P006,2025-09-22,1,46.29,completado,Norte
O00301,C0010,P002,2025-11-29,3,1961.56,completado,Centro
O00302,C0038,P001,2025-09-20,2,622.96,completado,Norte
O00303,C0021,P002,2025-11-14,1,652.45,completado,Sur
O00304,C0048,P009,2025-10-29,2,126.35,completado,Sur
O00305,C0033,P007,2026-03-13,2,121.58,cancelado,Norte
O00306,C0112,P009,2025-12-01,3,205.91,completado,Centro
O00307,C0102,P012,2026-08-21,2,127.84,pendiente,Norte
O00308,C0105,P011,2026-07-15,1,58.11,pendiente,Sur
O00309,C0068,P010,2025-10-08,2,255.4,completado,Occidente
O00310,C0050,P004,2026-01-27,1,113.84,pendiente,Sur
O00311,C0095,P012,2026-03-06,3,176.29,pendiente,Sur
O00312,C0023,P012,2026-05-04,1,65.38,completado,Norte
O00313,C0020,P009,2026-05-27,1,68.25,completado,Sur
O00314,C0063,P001,2026-05-27,2,604.16,completado,Norte
O00315,C0100,P010,2025-10-11,1,136.73,completado,Norte
O00316,C0084,P010,2025-11-08,1,139.16,completado,Occidente
O00317,C0113,P008,2025-12-30,3,179.11,completado,Sur
O00318,C0093,P011,2026-07-17,2,117.51,completado,Norte
O00319,C0094,P012,2025-09-12,3,194.01,completado,Sur
O00320,C0116,P001,2026-02-23,1,309.7,completado,Centro
O00321,C0076,P002,2026-06-09,2,1365.77,completado,Centro
O00322,C0028,P001,2026-01-30,3,927.24,completado,Centro
O00323,C0046,P011,2026-06-16,2,113.63,completado,Norte
O00324,C0114,P003,2025-09-06,2,78.77,completado,Occidente
O00325,C0062,P009,2026-08-11,2,126.96,cancelado,Sur
O00326,C0116,P007,2026-03-03,1,62.92,completado,Occidente
O00327,C0095,P004,2026-06-21,2,236.05,completado,Sur
O00328,C0006,P012,2025-10-16,2,131.84,completado,Occidente
O00329,C0042,P004,2026-01-24,2,238.26,completado,Sur
O00330,C0009,P010,2026-08-18,1,137.73,completado,Centro
O00331,C0074,P006,2025-10-27,3,143.44,completado,Sur
O00332,C0005,P012,2025-11-10,2,116.53,completado,Norte
O00333,C0089,P001,2026-06-19,2,577.44,completado,Norte
O00334,C0015,P003,2025-12-17,2,83.97,completado,Sur
O00335,C0018,P011,2026-01-05,1,53.88,completado,Centro
O00336,C0013,P002,2026-06-05,2,1325.64,completado,Occidente
O00337,C0047,P008,2025-12-03,1,66.18,completado,Centro
O00338,C0112,P001,2026-06-20,3,927.12,completado,Occidente
O00339,C0018,P003,2026-03-18,3,128.81,completado,Occidente
O00340,C0019,P001,2025-12-25,2,607.96,pendiente,Norte
O00341,C0060,P010,2025-10-07,3,433.42,completado,Occidente
O00342,C0052,P004,2026-05-03,3,313.69,completado,Norte
O00343,C0013,P011,2026-06-20,2,109.82,completado,Sur
O00344,C0022,P009,2026-03-13,1,70.26,completado,Sur
O00345,C0060,P008,2026-03-07,3,198.89,completado,Occidente
O00346,C0015,P007,2026-03-31,2,129.73,completado,Norte
O00347,C0065,P008,2025-12-22,2,125.88,completado,Sur
O00348,C0046,P001,2026-08-02,2,629.37,completado,Sur
O00349,C0101,P004,2026-02-19,2,228.95,completado,Sur
O00350,C0057,P006,2026-07-14,1,45.06,completado,Norte
O00351,C0001,P012,2025-11-01,1,64.59,completado,Sur
O00352,C0069,P006,2026-08-12,1,43.73,completado,Sur
O00353,C0057,P002,2026-07-01,1,691.6,completado,Sur
O00354,C0062,P008,2025-10-23,3,180.51,completado,Sur
O00355,C0074,P008,2026-04-24,1,61.71,completado,Sur
O00356,C0093,P006,2025-12-30,3,140.71,pendiente,Norte
O00357,C0084,P005,2025-09-07,2,772.16,completado,Occidente
O00358,C0092,P011,2026-02-19,3,184.82,completado,Centro
O00359,C0088,P012,2025-09-19,2,129.54,completado,Sur
O00360,C0017,P007,2026-08-10,3,169.79,completado,Sur
O00361,C0111,P002,2025-12-19,1,618.1,completado,Norte
O00362,C0043,P007,2025-12-01,2,116.45,completado,Centro
O00363,C0054,P012,2025-09-11,1,60.6,pendiente,Occidente
O00364,C0062,P011,2026-05-27,2,117.7,pendiente,Sur
O00365,C0019,P012,2025-12-16,1,60.53,completado,Centro
O00366,C0110,P007,2026-05-02,3,172.49,completado,Occidente
O00367,C0100,P005,2026-02-24,2,806.82,completado,Norte
O00368,C0069,P004,2026-04-06,3,347.17,completado,Sur
O00369,C0103,P002,2025-10-24,3,1975.44,completado,Sur
O00370,C0085,P002,2026-04-24,2,1265.57,cancelado,Centro
O00371,C0058,P009,2025-10-25,3,187.0,completado,Occidente
O00372,C0074,P011,2025-10-04,1,56.26,completado,Occidente
O00373,C0031,P005,2026-02-26,3,1228.67,completado,Occidente
O00374,C0069,P001,2026-01-31,3,873.76,completado,Occidente
O00375,C0070,P012,2025-11-26,3,197.82,completado,Centro
O00376,C0019,P004,2026-06-03,1,113.52,completado,Centro
O00377,C0042,P007,2026-08-25,1,57.47,completado,Norte
O00378,C0012,P006,2025-09-09,2,94.88,completado,Centro
O00379,C0120,P002,2026-02-11,3,1985.64,completado,Norte
O00380,C0110,P003,2026-06-13,2,80.29,completado,Centro
O00381,C0087,P008,2026-04-01,3,189.68,pendiente,Occidente
O00382,C0035,P010,2025-11-22,1,133.89,completado,Centro
O00383,C0026,P005,2025-11-28,3,1123.46,completado,Occidente
O00384,C0035,P011,2026-01-26,3,176.3,completado,Sur
O00385,C0053,P008,2025-11-24,3,190.7,completado,Sur
O00386,C0108,P005,2026-07-06,2,800.47,completado,Centro
O00387,C0009,P011,2026-07-09,2,110.07,completado,Occidente
O00388,C0011,P010,2026-01-27,1,135.18,completado,Occidente
O00389,C0060,P011,2026-08-19,3,168.08,completado,Centro
O00390,C0047,P012,2026-02-19,1,57.65,completado,Sur
O00391,C0113,P011,2026-05-27,1,60.66,completado,Centro
O00392,C0043,P012,2026-04-22,3,179.9,completado,Occidente
O00393,C0097,P006,2025-10-28,1,46.09,completado,Norte
O00394,C0078,P004,2026-07-29,2,219.04,pendiente,Sur
O00395,C0038,P003,2026-01-10,3,133.29,completado,Centro
O00396,C0025,P009,2026-06-28,1,61.42,completado,Centro
O00397,C0054,P007,2026-07-03,3,197.1,completado,Sur
O00398,C0001,P005,2026-02-01,2,817.78,pendiente,Occidente
O00399,C0120,P011,2026-02-26,3,180.92,completado,Centro
O00400,C0011,P006,2026-07-10,3,128.33,completado,Centro
O00401,C0095,P003,2026-04-13,2,89.83,cancelado,Centro
O00402,C0015,P003,2026-05-27,3,133.46,completado,Centro
O00403,C0036,P011,2026-08-17,1,61.51,completado,Norte
O00404,C0114,P007,2026-06-19,2,118.33,completado,Centro
O00405,C0023,P004,2026-02-08,2,226.29,completado,Sur
O00406,C0068,P009,2026-07-29,2,123.53,completado,Occidente
O00407,C0018,P009,2025-12-29,3,187.9,completado,Centro
O00408,C0054,P006,2026-04-13,2,86.79,completado,Centro
O00409,C0104,P007,2026-01-01,3,188.87,completado,Occidente
O00410,C0010,P012,2025-10-15,1,62.19,completado,Norte
O00411,C0079,P004,2026-08-25,2,240.41,completado,Occidente
O00412,C0064,P008,2025-11-12,2,132.02,completado,Occidente
O00413,C0073,P007,2026-01-29,2,129.31,pendiente,Norte
O00414,C0110,P006,2026-02-10,2,92.53,pendiente,Norte
O00415,C0079,P004,2025-09-30,1,114.31,completado,Sur
O00416,C0059,P010,2026-01-20,2,261.22,completado,Occidente
O00417,C0083,P008,2025-09-13,3,182.85,completado,Sur
O00418,C0027,P002,2026-01-26,1,607.82,pendiente,Norte
O00419,C0080,P007,2025-09-17,3,190.86,completado,Occidente
O00420,C0068,P011,2025-09-09,2,115.65,pendiente,Centro
O00421,C0047,P012,2026-02-17,1,59.99,completado,Occidente
O00422,C0012,P002,2026-01-16,2,1280.18,completado,Sur
O00423,C0107,P009,2026-06-07,3,211.63,completado,Occidente
O00424,C0039,P007,2025-12-02,2,118.52,completado,Norte
O00425,C0050,P009,2025-10-31,2,128.32,pendiente,Centro
O00426,C0040,P003,2026-02-04,2,85.21,completado,Occidente
O00427,C0022,P004,2026-04-01,2,226.1,completado,Centro
O00428,C0052,P003,2026-05-27,2,85.8,completado,Centro
O00429,C0036,P010,2026-06-17,3,390.93,completado,Occidente
O00430,C0055,P008,2026-01-24,1,61.55,completado,Occidente
O00431,C0102,P005,2026-05-27,2,822.46,completado,Centro
O00432,C0023,P002,2026-03-31,2,1245.26,completado,Norte
O00433,C0069,P001,2025-09-26,2,544.38,completado,Sur
O00434,C0078,P012,2026-07-28,3,178.58,completado,Norte
O00435,C0043,P012,2026-02-21,1,66.51,completado,Centro
O00436,C0081,P005,2026-01-24,3,1279.91,completado,Norte
O00437,C0005,P001,2026-07-29,2,586.85,completado,Sur
O00438,C0077,P004,2025-10-01,2,215.94,completado,Sur
