id_cliente,edad,meses_antiguedad,gasto_mensual,num_productos,tickets_soporte,dias_ultimo_acceso,tipo_contrato,metodo_pago,region,abandono
K0073,29,9,27.28,2,2,94,mensual,tarjeta,Centro,1
K0074,61,36,201.55,4,1,21,anual,domiciliacion,Occidente,0
K0075,56,2,85.64,1,10,26,mensual,paypal,Occidente,1
K0076,28,10,89.13,1,4,31,mensual,transferencia,Centro,1
K0077,23,33,65.53,3,0,20,anual,paypal,Centro,0
K0078,63,6,39.91,2,9,34,mensual,paypal,Centro,1
K0079,40,33,45.92,5,3,18,anual,paypal,Occidente,0
K0080,46,33,109.8,3,2,2,anual,transferencia,Centro,0
K0081,42,35,116.25,2,2,1,anual,paypal,Occidente,0
K0082,32,23,51.31,2,3,2,anual,domiciliacion,Sur,0
K0083,32,51,191.32,4,2,19,anual,transferencia,Centro,0
K0084,28,13,43.6,1,11,84,mensual,transferencia,Centro,1
K0085,59,21,92.65,4,0,7,anual,paypal,Norte,0
K0086,23,31,75.19,2,0,17,anual,tarjeta,Sur,0
K0087,55,41,104.03,5,0,2,anual,paypal,Norte,0
K0088,30,3,62.1,1,8,24,mensual,paypal,Norte,1
K0089,54,50,126.12,2,0,18,anual,transferencia,Norte,0
K0090,56,44,64.22,2,0,13,anual,tarjeta,Sur,0
K0091,29,13,46.84,1,2,22,mensual,domiciliacion,Norte,1
K0092,52,29,136.22,2,2,4,anual,domiciliacion,Occidente,0
K0093,34,11,51.08,2,11,36,mensual,paypal,Norte,1
K0094,27,1,64.22,1,8,24,mensual,domiciliacion,Centro,1
K0095,44,23,202.09,4,1,1,anual,paypal,Centro,0
K0096,39,9,84.46,1,6,18,mensual,tarjeta,Norte,1
K0097,45,5,70.89,1,5,94,mensual,tarjeta,Norte,1
K0098,36,7,18.42,1,11,59,mensual,tarjeta,Norte,1
K0099,26,4,67.37,1,9,40,mensual,transferencia,Centro,1
K0100,37,52,202.89,2,2,4,anual,paypal,Norte,0
