id_cliente,edad,meses_antiguedad,gasto_mensual,num_productos,tickets_soporte,dias_ultimo_acceso,tipo_contrato,metodo_pago,region,gasto_por_producto,tasa_tickets_soporte,puntaje_interaccion,bandera_alto_riesgo,gasto_anual_estimado,grupo_antiguedad,contrato_mensual,abandono
K0053,61,25,137.65,3,0,11,anual,paypal,Sur,45.88,0.0,25.0,0,1651.8,25m+,0,0
K0054,61,42,52.58,5,0,21,anual,domiciliacion,Norte,10.52,0.0,22.73,0,630.96,25m+,0,0
K0055,62,5,37.2,1,4,35,mensual,domiciliacion,Norte,37.2,0.8,2.78,0,446.4,0-6m,1,1
K0056,32,38,153.18,3,3,18,anual,tarjeta,Sur,51.06,0.079,15.79,0,1838.16,25m+,0,0
K0057,51,8,29.38,1,10,86,mensual,tarjeta,Centro,29.38,1.25,1.15,1,352.56,7-12m,1,1
K0058,33,18,155.13,2,2,8,anual,paypal,Sur,77.56,0.111,22.22,0,1861.56,13-24m,0,0
K0059,65,5,53.09,2,6,82,mensual,tarjeta,Sur,26.54,1.2,2.41,1,637.08,0-6m,1,1
K0060,42,3,60.05,2,2,23,mensual,transferencia,Sur,30.02,0.667,8.33,0,720.6,0-6m,1,1
K0061,36,5,19.11,1,3,93,mensual,transferencia,Norte,19.11,0.6,1.06,0,229.32,0-6m,1,1
K0062,36,59,84.71,4,0,17,anual,tarjeta,Centro,21.18,0.0,22.22,0,1016.52,25m+,0,0
K0063,38,9,79.54,1,5,47,mensual,tarjeta,Sur,79.54,0.556,2.08,1,954.48,7-12m,1,1
K0064,47,34,204.88,5,2,4,anual,domiciliacion,Occidente,40.98,0.059,100.0,0,2458.56,25m+,0,0
K0065,38,5,30.34,1,8,87,mensual,domiciliacion,Norte,30.34,1.6,1.14,1,364.08,0-6m,1,1
K0066,47,4,43.91,2,8,69,mensual,domiciliacion,Centro,21.96,2.0,2.86,1,526.92,0-6m,1,1
K0067,48,1,47.11,2,11,91,mensual,transferencia,Sur,23.56,11.0,2.17,1,565.32,0-6m,1,1
K0068,26,34,203.96,4,1,19,anual,paypal,Sur,50.99,0.029,20.0,0,2447.52,25m+,0,0
K0069,25,29,140.81,5,3,1,anual,paypal,Centro,28.16,0.103,250.0,0,1689.72,25m+,0,0
K0070,61,7,27.15,1,7,61,mensual,domiciliacion,Norte,27.15,1.0,1.61,1,325.8,7-12m,1,1
K0071,45,13,127.28,4,2,21,anual,paypal,Centro,31.82,0.154,18.18,0,1527.36,13-24m,0,0
K0072,59,2,76.53,2,11,72,mensual,paypal,Norte,38.26,5.5,2.74,1,918.36,0-6m,1,1
K0073,29,9,27.28,2,2,94,mensual,tarjeta,Centro,13.64,0.222,2.11,0,327.36,7-12m,1,1
K0074,61,36,201.55,4,1,21,anual,domiciliacion,Occidente,50.39,0.028,18.18,0,2418.6,25m+,0,0
K0075,56,2,85.64,1,10,26,mensual,paypal,Occidente,85.64,5.0,3.7,0,1027.68,0-6m,1,1
K0076,28,10,89.13,1,4,31,mensual,transferencia,Centro,89.13,0.4,3.12,0,1069.56,7-12m,1,1
K0077,23,33,65.53,3,0,20,anual,paypal,Centro,21.84,0.0,14.29,0,786.36,25m+,0,0
K0078,63,6,39.91,2,9,34,mensual,paypal,Centro,19.95,1.5,5.71,1,478.92,0-6m,1,1
K0079,40,33,45.92,5,3,18,anual,paypal,Occidente,9.18,0.091,26.32,0,551.04,25m+,0,0
K0080,46,33,109.8,3,2,2,anual,transferencia,Centro,36.6,0.061,100.0,0,1317.6,25m+,0,0
K0081,42,35,116.25,2,2,1,anual,paypal,Occidente,58.12,0.057,100.0,0,1395.0,25m+,0,0
K0082,32,23,51.31,2,3,2,anual,domiciliacion,Sur,25.66,0.13,66.67,0,615.72,13-24m,0,0
K0083,32,51,191.32,4,2,19,anual,transferencia,Centro,47.83,0.039,20.0,0,2295.84,25m+,0,0
K0084,28,13,43.6,1,11,84,mensual,transferencia,Centro,43.6,0.846,1.18,1,523.2,13-24m,1,1
K0085,59,21,92.65,4,0,7,anual,paypal,Norte,23.16,0.0,50.0,0,1111.8,13-24m,0,0
K0086,23,31,75.19,2,0,17,anual,tarjeta,Sur,37.6,0.0,11.11,0,902.28,25m+,0,0
K0087,55,41,104.03,5,0,2,anual,paypal,Norte,20.81,0.0,166.67,0,1248.36,25m+,0,0
K0088,30,3,62.1,1,8,24,mensual,paypal,Norte,62.1,2.667,4.0,0,745.2,0-6m,1,1
K0089,54,50,126.12,2,0,18,anual,transferencia,Norte,63.06,0.0,10.53,0,1513.44,25m+,0,0
K0090,56,44,64.22,2,0,13,anual,tarjeta,Sur,32.11,0.0,14.29,0,770.64,25m+,0,0
K0091,29,13,46.84,1,2,22,mensual,domiciliacion,Norte,46.84,0.154,4.35,0,562.08,13-24m,1,1
K0092,52,29,136.22,2,2,4,anual,domiciliacion,Occidente,68.11,0.069,40.0,0,1634.64,25m+,0,0
K0093,34,11,51.08,2,11,36,mensual,paypal,Norte,25.54,1.0,5.41,1,612.96,7-12m,1,1
K0094,27,1,64.22,1,8,24,mensual,domiciliacion,Centro,64.22,8.0,4.0,0,770.64,0-6m,1,1
K0095,44,23,202.09,4,1,1,anual,paypal,Centro,50.52,0.043,200.0,0,2425.08,13-24m,0,0
K0096,39,9,84.46,1,6,18,mensual,tarjeta,Norte,84.46,0.667,5.26,0,1013.52,7-12m,1,1
K0097,45,5,70.89,1,5,94,mensual,tarjeta,Norte,70.89,1.0,1.05,1,850.68,0-6m,1,1
K0098,36,7,18.42,1,11,59,mensual,tarjeta,Norte,18.42,1.571,1.67,1,221.04,7-12m,1,1
K0099,26,4,67.37,1,9,40,mensual,transferencia,Centro,67.37,2.25,2.44,1,808.44,0-6m,1,1
K0100,37,52,202.89,2,2,4,anual,paypal,Norte,101.44,0.038,40.0,0,2434.68,25m+,0,0
